rank,partner,repo,opire_signal,reward_amount_usd,language_or_area,why_relevant_to_ubiquity,recommended_offer,source_url,risk
1,Opire,opire/website,Official platform with public growth metrics and active bounty marketplace,54767.22,Open-source bounty platform,"Direct platform partnership. Ubiquity can position UbiquityOS as an execution layer for bounty triage, fulfillment, and partner support.","Propose a lightweight collaboration: Ubiquity curates and solves a small batch of Opire bounty issues while Opire provides data or visibility.",https://opire.dev/open-startup,Low
2,godotengine,godot,Featured Opire reward,33460.00,C++,"Large public bounty with many developers watching. Useful as a flagship bounty-operations case study even if Ubiquity does not solve the C++ work directly.","Offer structured issue decomposition, contributor coordination, and milestone tracking around the bounty.",https://app.opire.dev/home,Medium
3,hexgrad,kokoro,Featured Opire reward,1620.00,JavaScript,"Mid-size reward around language/community expansion. Good fit for Ubiquity's business-development and community workflow experience.","Offer contributor sourcing, translation workflow setup, and GitHub bounty operations.",https://app.opire.dev/home,Low
4,FalkorDB,FalkorDB,Featured Opire reward,900.00,C,"Crash/fuzzer work suggests a need for reproducible debugging and CI-oriented bounty packaging.","Offer issue reproduction packaging, bounty spec cleanup, and test harness coordination.",https://app.opire.dev/home,Medium
5,autokey,autokey,Featured Opire reward,390.00,Python,"Desktop/Linux project with a concrete Wayland support bounty; likely needs focused contributor matching.","Offer to map the implementation scope, identify likely contributors, and package bounty acceptance criteria.",https://app.opire.dev/home,Medium
6,zed-industries,zed,Featured Opire reward,345.00,Rust,"Popular editor ecosystem and concrete keymap feature. Good visibility if handled well.","Offer bounty spec refinement and contributor routing through GitHub workflows.",https://app.opire.dev/home,Medium
7,keycloak,keycloak,Featured Opire reward,200.00,Java/Auth,"Authentication issue overlaps with identity workflows and UbiquityOS multi-platform identity concerns.","Offer a research note comparing the Keycloak issue to Ubiquity identity needs and possible shared learnings.",https://app.opire.dev/home,Medium
8,Leantime,leantime,Featured Opire reward,200.00,PHP/Productivity,"Task collaboration feature fits project-management and contributor workflow themes.","Offer acceptance criteria, testing checklist, and contributor coordination.",https://app.opire.dev/home,Low
9,esp-rs,esp-hal,Featured Opire reward,150.00,Rust/Embedded,"Specialized but active Rust ecosystem. Useful for testing Ubiquity's bounty matching process outside web apps.","Offer issue packaging and bounty visibility support only unless an embedded contributor is available.",https://app.opire.dev/home,High
10,typeorm,typeorm,Featured Opire reward,120.00,TypeScript,"Data-loss migration bug is high-impact and easy to explain to sponsors.","Offer reproduction steps, acceptance tests, and bounty scope cleanup.",https://app.opire.dev/home,Medium
11,storybookjs,storybook,Featured Opire reward,110.00,TypeScript,"Popular frontend tooling project with a small, concrete UI/control issue.","Offer small-bounty execution workflow and contributor matching.",https://app.opire.dev/home,Low
