priority,score,project,lead_url,evidence,fit,recommended_action,status
High,9,claude-builders-bounty,https://github.com/claude-builders-bounty/claude-builders-bounty/issues/1,"Opire-powered GitHub bounty for a changelog generator; issue is structured around PR submission and payment on merge","Runs several GitHub-native paid tasks and has visible coordination volume","Contact maintainer with a workflow map for pricing, assignment, PR tracking, and payout permits",Contact now
High,9,claude-builders-bounty,https://github.com/claude-builders-bounty/claude-builders-bounty/issues/3,"Opire-powered $100 hook bounty with hundreds of comments and many competing PRs","High manual review and coordination overhead","Pitch DevPool as a way to reduce duplicate submissions and track bounty state",Contact now
High,9,claude-builders-bounty,https://github.com/claude-builders-bounty/claude-builders-bounty/issues/4,"Opire-powered $150 agent bounty with public submission process","Repeated bounty pattern and clear buyer pain","Offer to map their bounty process into DevPool labels and payout flow",Contact now
High,8,Auki Labs Hagall,https://github.com/aukilabs/hagall/issues/62,"Open GitHub issue labeled as a $50 USD bounty for ROS2 topic relay work","Engineering team uses GitHub issue as a paid contributor work queue","Contact with an example of issue labels -> contributor assignment -> linked PR -> payout",Contact now
High,8,Ubiquity business-development,https://github.com/ubiquity/business-development/issues/90,"Existing Ubiquity issue asking for GitHub-based marketing around bounty projects","Internal pilot case; validates the channel and can become a repeatable playbook","Use this deliverable as first campaign asset and test it on five leads",In progress
Medium,7,Algora bounty communities,https://algora.io/bounties/new/,"Public Algora bounty feed shows active paid GitHub issue programs","Teams are already paying for GitHub issue resolution; some may need operations automation","Track projects with repeated bounties and contact project maintainers rather than Algora itself",Nurture
Medium,7,AraKoo EdgeChains,https://algora.io/arakoodev/bounties?status=open,"Algora page shows multiple EdgeChains bounties with repeated claims","Repeated GitHub bounty operations indicate workflow pain","Contact if new bounty activity continues; ask whether issue pricing and payout tracking are manual",Nurture
Medium,6,CloudGakkai,https://algora.io/cloudgakkai/bounties?status=open,"Algora page shows multiple open bounty entries for node-seeli and fingerprint-suite","Small repeated bounties, likely lower budget but easy to approach","Use as a lower-priority test audience for lightweight DevPool setup",Nurture
Medium,6,Apify fingerprint-suite,https://github.com/apify/fingerprint-suite/issues/6,"Bounty board entry references this issue; issue is technical and has ongoing PR activity","Browser automation project with external contributor work","Only contact if maintainer still uses bounties; avoid if issue is stale",Verify before contact
Medium,6,ProjectDiscovery nuclei,https://github.com/projectdiscovery/nuclei/issues/6674,"Past Algora bounty around Go error handling; large active OSS project","High contributor volume and security tooling audience","Track future bounty issues; contact with a specific automation benefit",Nurture
Low,4,RustChain bounty repos,https://github.com/Scottcjn/rustchain-bounties/issues,"Very active GitHub bounty flow but many rewards are RTC token or engagement tasks","High activity but poor fit for USD-focused professional DevPool lead generation","Use only as market research; skip direct outreach until USD liquidity and buyer quality are clear",Observe only
Low,3,Generic bug bounty platforms,https://immunefi.com/,"Security bounty programs are not the same as general GitHub task marketplaces","Potential partnership research but weak direct DevPool conversion","Do not prioritize until GitHub-native bounty leads are exhausted",Skip for now
